,avg365,avg100,avg15,avg5,autocorrelation1,autocorrelation2,autocorrelation5,autocorrelation10,volAvg365,volAvg100,volAvg15,volAvg5,initialPrice
0,47.565643835616434,52.2169,54.94000000000001,56.44199999999999,0.9990662822225252,0.9981872857768714,0.9957159365325555,0.9926010130985068,32831692.328767125,29274642.0,33622793.333333336,30707620.0,55.97
0,48.38506849315068,54.12899999999999,56.462666666666664,57.081999999999994,0.9991068779262676,0.9982683539193635,0.9959195027323102,0.9929689352195337,32861905.479452055,27243734.0,30765280.0,21602640.0,55.78
0,49.392712328767125,55.50260000000001,59.26866666666667,59.279999999999994,0.9991523090806529,0.9983586619440079,0.9961187056776609,0.9933154335271976,32421024.93150685,25594669.0,23868826.666666668,14930160.0,58.97
0,50.3398904109589,56.6029,59.75266666666666,60.967999999999996,0.9991976005936305,0.9984447573825013,0.9963237236695824,0.9936964669992056,32167467.671232875,26826119.0,25749186.666666668,33793440.0,59.91
0,51.44498630136986,57.9426,60.809999999999995,61.013999999999996,0.9992380740026924,0.998521936105828,0.99650687493379,0.9940239129190712,31194617.260273974,26364004.0,20343153.333333332,20094780.0,61.56
0,52.70753424657534,59.455899999999986,61.610666666666674,62.08399999999999,0.9992823856662724,0.998611595106967,0.9967218578645474,0.9944060580856824,30646049.589041095,24530263.0,21425966.666666668,17695320.0,62.14
0,53.47126027397261,60.65780000000001,62.86533333333333,64.46599999999998,0.9993183616325325,0.9986754798552598,0.9968678197546847,0.9946756887234519,29498413.424657535,23100803.0,24016053.333333332,32144660.0,65.8
0,54.40104109589041,62.1328,65.536,66.474,0.9993590566527673,0.9987596265420083,0.9970506714377015,0.9949632255669026,28824942.19178082,23068668.0,23341820.0,20757020.0,66.84
0,55.47271232876712,63.78750000000001,66.74666666666666,66.162,0.9993895050782473,0.9988175330367854,0.99719183706347,0.9951987579069245,27998800.0,23541663.0,27495833.333333332,24741620.0,65.0
0,56.64027397260274,65.3279,69.598,70.00999999999999,0.9994242744685199,0.9988814055203834,0.9973157150984477,0.9953735730805916,26754610.1369863,24107522.0,25299933.333333332,23404380.0,69.2
0,57.968630136986306,67.14080000000001,69.99000000000001,70.44800000000001,0.9994561041758508,0.9989435251353044,0.9974768200951182,0.9956538509676497,25982857.260273974,23890366.0,17796493.333333332,16678600.0,70.87
0,59.089424657534245,68.62270000000001,71.41733333333333,70.68800000000002,0.9994827609953615,0.9989958923221406,0.997596902455236,0.9958717466068134,25747184.657534245,22697497.0,18932060.0,17939360.0,71.52
0,60.75120547945206,70.448,75.82266666666668,78.266,0.9995003575027599,0.9990275444364444,0.9977168088344351,0.9960740551640709,24970344.10958904,21522931.0,23243400.0,36488300.0,79.73
0,62.63060273972602,73.37230000000001,80.38799999999999,80.82799999999999,0.9995327251589747,0.9990942452364519,0.9978493417738648,0.9962560161002505,24349001.369863015,20539694.0,20143826.666666668,21610500.0,81.17
0,64.45580821917808,75.7841,82.396,82.43999999999998,0.9995523225999361,0.9991328563313557,0.9979508056502103,0.9964746406591486,23521982.739726026,20279585.0,21471826.666666668,13605340.0,82.8
0,66.38320547945206,79.30569999999999,87.824,90.18199999999999,0.9995777576521435,0.9991896186497075,0.998084507387315,0.9966926727675776,23662332.602739725,22110224.0,29253120.0,34903340.0,90.8
0,68.17627397260273,82.50640000000001,88.304,90.82,0.9995649624062668,0.9991675182003329,0.9980620323644027,0.996711376728575,24534126.02739726,25971881.0,34102500.0,27591640.0,89.87
0,70.25583561643835,85.4927,89.67133333333331,87.32000000000001,0.9995530715448432,0.9991740348985723,0.99812674673031,0.9968363101842311,25237650.410958905,28925055.0,38807166.666666664,51080660.0,85.68
0,72.2516712328767,87.5533,91.20933333333333,90.78999999999999,0.9995609374980808,0.9991938970604001,0.998193309277587,0.996961428528233,25035050.95890411,31163835.0,29833980.0,40115900.0,91.95
0,74.46805479452055,90.1625,94.94999999999999,95.74199999999999,0.9995871301054963,0.9992444458667455,0.9983056084824853,0.9971493219942966,24866978.356164385,31343608.0,21454013.333333332,25996720.0,97.97
0,76.6845205479452,92.2965,97.3433333333333,95.696,0.9996085653820848,0.9992862910885889,0.9983895124685795,0.9972947939679978,25299283.01369863,30424261.0,30107560.0,29666560.0,97.22
0,79.0682191780822,94.9797,103.26200000000001,104.902,0.9996235576323454,0.9993097416236228,0.9984581445327106,0.9973855643467903,25314581.643835615,29315936.0,30626693.333333332,32280600.0,103.31
0,81.88312328767124,98.82829999999998,106.15799999999999,108.54,0.9996494502075632,0.9993560759526546,0.9985399398150699,0.9975722221228834,25192506.84931507,25338091.0,20302733.333333332,21130640.0,109.01
0,84.35676712328767,102.22949999999999,110.29,111.60799999999999,0.9996662719103289,0.9993854915569614,0.9986090422010135,0.9977179409609254,25554826.84931507,24579587.0,25251486.666666668,22018720.0,112.81
0,86.98684931506848,104.65019999999998,104.84333333333333,103.36800000000001,0.9996414416039167,0.9993622546066998,0.9985883675624393,0.9976911950674955,26415087.12328767,28619064.0,46008240.0,57749040.0,103.36
0,89.15884931506848,106.21029999999998,104.59066666666668,106.97999999999999,0.9996371539418003,0.9993443125582155,0.9985600871017486,0.9977115255790309,26813969.315068495,30244160.0,35557073.333333336,34007600.0,109.85
0,90.98438356164384,105.9123,101.19333333333334,97.57600000000001,0.9996171934200085,0.9993077352213414,0.9985132308692688,0.997579604553407,28259632.602739725,34242361.0,51348833.333333336,43287720.0,99.1
0,92.84887671232876,105.0203,103.04933333333334,103.096,0.9996153439414636,0.9993166099313491,0.9985418088482999,0.9976156121961657,28828797.80821918,37075749.0,32852833.333333332,39460220.0,100.73
0,94.68879452054793,104.1746,106.63799999999999,110.05799999999999,0.9996256284049737,0.9993310645380665,0.9985735951501014,0.9976665585074358,29241332.328767125,37190816.0,23620660.0,24724300.0,110.75
0,97.06599999999999,105.80279999999999,114.736,115.588,0.9996388638751881,0.9993564818429974,0.9986218020024215,0.9977365347771802,29837592.05479452,34035635.0,30240260.0,23926560.0,117.14
0,99.5232602739726,109.07620000000001,122.12866666666666,126.848,0.9996559599200723,0.999385764017441,0.9986713235917923,0.9978117940808273,29721334.79452055,31151440.0,21220693.333333332,26687300.0,125.86
0,102.18175342465753,114.2043,124.50666666666669,123.828,0.9996646136461735,0.9994026927543409,0.9987232292727792,0.9978935421087519,29839331.506849315,25951559.0,23481566.666666668,20698260.0,118.38
0,104.74482191780822,119.70109999999998,132.49266666666668,133.014,0.9996715029453138,0.9994056363203396,0.9987179790897783,0.9979027868020832,30020386.301369864,24527085.0,24045306.666666668,24842880.0,134.03
0,107.67561643835619,126.09379999999999,136.99466666666666,138.136,0.999689055405648,0.9994367290332979,0.9987883590591107,0.9980407831438171,29044520.547945205,24268444.0,23596526.666666668,21889140.0,136.38
0,110.3414794520548,130.3456,135.16666666666666,135.338,0.9996895087639796,0.9994422844822735,0.9988135744192653,0.998102297667259,28841220.0,24252555.0,23553413.333333332,20983360.0,134.83
0,112.97545205479452,133.0769,136.90533333333335,137.378,0.9997002536409556,0.9994612009059075,0.9988688541980347,0.9982007887486866,28193458.90410959,24293424.0,24198626.666666668,21674080.0,135.85
0,115.83161643835616,136.0854,139.15533333333332,141.876,0.9997088744637173,0.999477571189328,0.9988983880755569,0.9982861603968932,27999385.75342466,24013788.0,24816386.666666668,24986200.0,142.45
0,118.54526027397259,138.7545,148.30400000000003,150.478,0.9997245432438875,0.9995047391835139,0.9989549595809798,0.9983490929468952,27615126.84931507,23528622.0,19314580.0,18020900.0,148.73
0,121.69049315068493,142.34429999999998,154.87999999999997,157.19200000000004,0.9997397354080854,0.9995300648902141,0.9990109996996468,0.9984343792977814,27389775.342465755,22415112.0,22018946.666666668,15328080.0,159.74
0,125.02761643835616,148.11720000000003,164.81866666666664,166.83599999999998,0.999746921246908,0.9995440237478491,0.9990603513261829,0.9985145784301229,27467268.493150685,23136700.0,28211633.333333332,35894540.0,173.42
0,128.70838356164384,155.9762,177.77866666666665,165.404,0.999723519014639,0.9994930573605296,0.9988113274032214,0.9981208567588888,28774256.16438356,27391557.0,50264260.0,76539540.0,172.31
0,131.27189041095892,158.8298,146.85333333333335,153.704,0.999503089074528,0.9993426988177244,0.9984732835502454,0.9972795297779034,31322948.76712329,38330561.0,77584080.0,67719220.0,151.69
0,134.93547945205478,163.1727,172.502,174.526,0.9994884664658478,0.9993167709011888,0.9984622055554929,0.9970644417671293,31713069.589041095,44066429.0,43836893.333333336,41368060.0,174.09
